Job Title,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary_estimate,Max_salary_estimate,HQ_city,HQ_state,Job_city,Job_state,Company_age,Avg_salary_estimate,Seniority
Sr Data Scientist,3.1,Healthfirst,1001-5000,1993,Nonprofit Organization,Insurance Carriers,Insurance,N/A,137000,171000,New York, NY,New York, NY,30,154000,Junior
Data Scientist,4.2,ManTech,5001-10000,1968,Company - Public,Research & Development,Business Services,$1 - $2 billion ,137000,171000,Herndon, VA,Chantilly, VA,55,154000,Junior
Data Scientist,3.8,Analysis Group,1001-5000,1981,Private Practice / Firm,Consulting,Business Services,$100 - $500 million ,137000,171000,Boston, MA,Boston, MA,42,154000,Junior
Data Scientist,3.5,INFICON,501-1000,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 - $500 million ,137000,171000,Bad Ragaz, Switzerland,Newton, MA,23,154000,Junior
Data Scientist,2.9,Affinity Solutions,51-200,1998,Company - Private,Advertising & Marketing,Business Services,N/A,137000,171000,New York, NY,New York, NY,25,154000,Junior
Data Scientist,4.2,HG Insights,51-200,2010,Company - Private,Computer Hardware & Software,Information Technology,N/A,137000,171000,Santa Barbara, CA,Santa Barbara, CA,13,154000,Junior
Data Scientist / Machine Learning Expert,3.9,Novartis,10000+,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,137000,171000,Basel, Switzerland,Cambridge, MA,27,154000,Junior
Data Scientist,3.5,iRobot,1001-5000,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 - $2 billion ,137000,171000,Bedford, MA,Bedford, MA,33,154000,Junior
Staff Data Scientist - Analytics,4.4,Intuit - Data,5001-10000,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 - $5 billion ,137000,171000,Mountain View, CA,San Diego, CA,40,154000,Junior
Data Scientist,3.6,XSELL Technologies,51-200,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,N/A,137000,171000,Chicago, IL,Chicago, IL,9,154000,Junior
Data Scientist,4.5,Novetta,501-1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 - $500 million ,137000,171000,Mc Lean, VA,Herndon, VA,11,154000,Junior
Data Scientist,4.7,1904labs,51-200,2016,Company - Private,IT Services,Information Technology,N/A,137000,171000,Saint Louis, MO,Saint Louis, MO,7,154000,Junior
"Data Scientist - Statistics, Early Career",3.7,PNNL,1001-5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million - $1 billion ,137000,171000,Richland, WA,Richland, WA,58,154000,Junior
Data Modeler,3.1,Old World Industries,201-500,1973,Company - Private,Chemical Manufacturing,Manufacturing,$1 - $2 billion ,137000,171000,Northbrook, IL,Northbrook, IL,50,154000,Junior
Data Scientist,3.4,Mathematica Policy Research,1001-5000,1986,Company - Private,Consulting,Business Services,$100 - $500 million ,137000,171000,Princeton, NJ,Washington, DC,37,154000,Junior
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),1-50,1997,Company - Private,Federal Agencies,Government,N/A,137000,171000,Mays Landing, NJ,Washington, DC,26,154000,Junior
Data Scientist - Contract,4.1,Upside Business Travel,51-200,2015,Company - Private,Internet,Information Technology,N/A,137000,171000,Washington, DC,Remote,,8,154000,Junior
Data Scientist,3.5,Buckman,1001-5000,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million - $1 billion ,137000,171000,Memphis, TN,Memphis, TN,78,154000,Junior
Data Analyst II,4.2,"Insight Enterprises, Inc.",5001-10000,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 - $10 billion ,137000,171000,Tempe, AZ,Plano, TX,35,154000,Junior
Medical Lab Scientist,3.5,Tower Health,5001-10000,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,N/A,137000,171000,Reading, PA,West Grove, PA,6,154000,Junior
Data Scientist,3.2,Triplebyte,51-200,2015,Company - Private,Computer Hardware & Software,Information Technology,N/A,137000,171000,San Francisco, CA,New York, NY,8,154000,Junior
Data Scientist/Machine Learning,4.3,PulsePoint,51-200,2011,Company - Private,Internet,Information Technology,$100 - $500 million ,137000,171000,New York, NY,New York, NY,12,154000,Junior
Human Factors Scientist,3.5,Exponent,1001-5000,1967,Company - Public,Consulting,Business Services,$100 - $500 million ,137000,171000,Menlo Park, CA,Phoenix, AZ,56,154000,Junior
Business Intelligence Analyst I- Data Insights,3.5,Guardian Life,5001-10000,1860,Company - Private,Insurance Carriers,Insurance,$5 - $10 billion ,137000,171000,New York, NY,Appleton, WI,163,154000,Junior
Data Scientist,3.4,Spectrum Communications and Consulting,51-200,1992,Company - Private,Advertising & Marketing,Business Services,$10 - $25 million ,137000,171000,Chicago, IL,Chicago, IL,31,154000,Junior
Data Scientist,4.7,Oversight Systems,51-200,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 - $50 million ,137000,171000,Atlanta, GA,Atlanta, GA,20,154000,Junior
Data Scientist - Risk,4.2,LSQ,51-200,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 - $500 million ,137000,171000,Orlando, FL,Orlando, FL,27,154000,Junior
Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,1001-5000,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,N/A,137000,171000,Lexington, MA,Lexington, MA,72,154000,Junior
Data Scientist,4.5,Kingfisher Systems,51-200,2005,Company - Private,Federal Agencies,Government,$25 - $50 million ,137000,171000,Falls Church, VA,McLean, VA,18,154000,Junior
Data Scientist,2.8,Formation,51-200,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,N/A,137000,171000,San Francisco, CA,San Francisco, CA,8,154000,Junior
Data Scientist,3.8,Analysis Group,1001-5000,1981,Private Practice / Firm,Consulting,Business Services,$100 - $500 million ,75000,131000,Boston, MA,Boston, MA,42,103000,Junior
Data Scientist / Machine Learning Expert,3.9,Novartis,10000+,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,75000,131000,Basel, Switzerland,Cambridge, MA,27,103000,Junior
Data Scientist,5.0,Cohere Health,1-50,2019,Company - Private,IT Services,Information Technology,N/A,75000,131000,Boston, MA,Boston, MA,4,103000,Junior
